id,created,license,params,base_model,head
llm-semantic-router/Decision-1.0-Eos-0.8B,,not stated,,,
llm-semantic-router/Decision-1.0-Kai-0.6B,,not stated,,,
llm-semantic-router/Decision-1.0-Lex-0.6B,,not stated,,,
DavidHatley/system-one-mini,2026-09-16,apache-2.0,69M,distilbert/distilbert-base-uncased,
Mapika/decider-2b,2026-09-16,apache-2.0,1.9B,Qwen/Qwen3.5-2B-Base,c
Mapika/decider-2b-vision,2026-09-16,apache-2.0,2.2B,Qwen/Qwen3.5-2B-Base,
pngwn/nanodiff-350m-typed-decisions-lam1,2026-09-16,mit,,Sebasdi/nanodiff-350m-base,
pngwn/system-one-qwen3.5-4b-scorer,2026-09-16,cc-by-nc-4.0,,Qwen/Qwen3.5-4B-Base,d
mobarmg/jev-schema-scorer-deberta-v3-large,2026-09-17,mit,435M,microsoft/deberta-v3-large,
bespokelabs/Bespoke-Nimble-9B,2026-09-18,apache-2.0,,Qwen/Qwen3.5-9B,c
com-kotobalabs/open-jev-deberta-v3-large,2026-09-18,apache-2.0,434M,microsoft/deberta-v3-large,d
convaiinnovations/laya,2026-09-18,apache-2.0,421M,,b
jaredpalmer/kev-0.5b,2026-09-18,apache-2.0,,Qwen/Qwen2.5-0.5B,b
Mannedood/local-system-one-student,2026-09-18,mit,149M,answerdotai/ModernBERT-base,
SargeDev/jev-distill-corpus,2026-09-18,apache-2.0,,,
AndeyTait/JevForge-0.8B,2026-09-19,apache-2.0,,Qwen/Qwen3.5-0.8B,
argos1111/modernbert-ja-310m-jev,2026-09-19,cc-by-sa-4.0,315M,sbintuitions/modernbert-ja-310m,
convaiinnovations/laya-multilingual,2026-09-19,apache-2.0,322M,,b
dwidlee/systemone-lite-0.5b,2026-09-19,apache-2.0,494M,Qwen/Qwen2.5-0.5B-Instruct,
jaredpalmer/kev-0.6b,2026-09-19,apache-2.0,,Qwen/Qwen3-0.6B-Base,b
jaredpalmer/kev-4b,2026-09-19,apache-2.0,,Qwen/Qwen3.5-4B-Base,b
jaredpalmer/kev-8b,2026-09-19,apache-2.0,,Qwen/Qwen3-8B-Base,b
lafalce/system-one-model,2026-09-19,apache-2.0,,answerdotai/ModernBERT-base,
lewislululu/jevon,2026-09-19,agpl-3.0,,,
Mapika/decider-0.8b,2026-09-19,apache-2.0,752M,Qwen/Qwen3.5-0.8B-Base,c
shreyanbr/system-one-distilled,2026-09-19,apache-2.0,71M,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,
shreyanbr/system-one-gold,2026-09-19,apache-2.0,71M,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,
shreyanbr/system-one-zeroshot,2026-09-19,apache-2.0,71M,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,
vagmi/jev-lite,2026-09-19,gemma,,google/gemma-4-E4B-it,c
wfzyx/von-1.0,2026-09-19,apache-2.0,395M,answerdotai/ModernBERT-large,b
akhilaaa3/Jev-Omni,2026-09-20,apache-2.0,,google/gemma-4-12B-it,
altslate/certo-decision-model,2026-09-20,mit,,,
azharmo/build-jev-from-scratch,2026-09-20,mit,,,
flock-io/this-that-model-1.0,2026-09-20,mit,1.9B,decider-2b,c
iapp/OpenThai-SystemOne,2026-09-20,apache-2.0,753M,Qwen/Qwen3.5-0.8B-Base,a
jaredpalmer/kev-0.8b,2026-09-20,apache-2.0,,Qwen/Qwen3.5-0.8B-Base,b
jaredpalmer/kev-9b,2026-09-20,apache-2.0,,Qwen/Qwen3.5-9B-Base,b
Mapika/decider-35b-a3b,2026-09-20,apache-2.0,34.7B,Qwen/Qwen3.5-35B-A3B-Base,c
Nebulaw1/jev-qwen3.5-0.8b-legal-lora,2026-09-20,apache-2.0,,Qwen/Qwen3.5-0.8B-Base,
Nebulaw1/jev-qwen3.5-4b-legal-lora,2026-09-20,apache-2.0,,Qwen/Qwen3.5-4B-Base,
ZefanCai/Open-Jev-2B,2026-09-20,apache-2.0,,Qwen/Qwen3.5-2B,
ZefanCai/Open-Jev-9B,2026-09-20,apache-2.0,,Qwen/Qwen3.5-9B,c
abidlabs/jev-typed-decisions-causal-0.6b,2026-09-21,apache-2.0,,Qwen/Qwen3-0.6B-Base,
aimeigaoshou/agent-jev,2026-09-21,apache-2.0,598M,,
kaivoss/system-one-270m,2026-09-21,gemma,268M,unsloth/gemma-3-270m-it,
llm-semantic-router/Decision-1.0-Nox-4B,2026-09-21,apache-2.0,,Qwen/Qwen3.5-4B,
llm-semantic-router/Decision-1.0-Sol-2B,2026-09-21,apache-2.0,,Qwen/Qwen3.5-2B,b
lostargon/Tiny-Jev,2026-09-21,apache-2.0,596M,Qwen/Qwen3-0.6B,
marcmagn1/kev-08b-typed-v1,2026-09-21,not stated,,,
mogita/jev-decider-qwen3-4b,2026-09-21,apache-2.0,,Qwen/Qwen3-4B,
Pdbz199/local-decision-model,2026-09-21,cc-by-nc-4.0,,answerdotai/ModernBERT-base,
Praveenrajus/jevify-qwen3-vl-2b,2026-09-21,apache-2.0,,Qwen/Qwen3-VL-2B-Instruct,
Praveenrajus/jevify-qwen3.5-2b,2026-09-21,apache-2.0,,Qwen/Qwen3.5-2B,
Praveenrajus/jevify-qwen3.5-4b,2026-09-21,apache-2.0,,Qwen/Qwen3.5-4B,
samatv256/mini-Jev,2026-09-21,apache-2.0,0M,Qwen/Qwen3-0.6B,
SargeDev/jev-gate-student-b,2026-09-21,apache-2.0,,,
SeanLiu/Jev-Vision,2026-09-21,apache-2.0,,Qwen/Qwen3-VL-8B-Instruct,
ait-hf/certus-jev-like-v0007,2026-09-22,apache-2.0,,Qwen/Qwen2.5-1.5B-Instruct,
alibiserikbay/JevK5,2026-09-22,apache-2.0,4.2B,Qwen/Qwen3.5-4B,
flock-io/this-that-model-1.1,2026-09-22,mit,1.9B,decider-2b,c
FluidInference/kev-0-5b-coreml,2026-09-22,apache-2.0,,,
IJyad/jeb-typed-decisions,2026-09-22,apache-2.0,178M,IJyad/jeb,
jaswanthsanjay88/rev-decision-model,2026-09-22,apache-2.0,421M,,
llm-semantic-router/Decision-1.0-Lux-9B,2026-09-22,apache-2.0,,Qwen/Qwen3.5-9B,
Mapika/decider-4b,2026-09-22,apache-2.0,4.2B,Qwen/Qwen3.5-4B-Base,c
mghafiri/qwen3.5-0.8B-decision-model,2026-09-22,apache-2.0,752M,Qwen/Qwen3.5-0.8B-Base,
olafura/gemma4-12b-system-one,2026-09-22,apache-2.0,,google/gemma-4-12B-it-qat-w4a16-ct,
Praveenrajus/jevify-qwen3-vl-2b-t2,2026-09-22,apache-2.0,,Qwen/Qwen3-VL-2B-Instruct,
Praveenrajus/jevify-qwen3.5-4b-t2,2026-09-22,apache-2.0,,Qwen/Qwen3.5-4B,
Praveenrajus/jevify-qwen3.5-4b-t2-lowlr,2026-09-22,apache-2.0,,Qwen/Qwen3.5-4B,
shreyanbr/nev-lite-systemone,2026-09-22,apache-2.0,,sentence-transformers/all-MiniLM-L6-v2,
sshalimov04/open-jev-base,2026-09-22,mit,,jhu-clsp/mmBERT-small,
tasksource/modernbert-tasksource-jev,2026-09-22,apache-2.0,153M,,
tianxinwei/JevAny-27B-RLCR,2026-09-22,apache-2.0,,Qwen/Qwen3.8-27B,
tianxinwei/JevAny-27B-SFT,2026-09-22,apache-2.0,,Qwen/Qwen3.8-27B,
top7777/jev-schema-scorer-deberta-v3-large,2026-09-22,mit,435M,microsoft/deberta-v3-large,
vigneshlabs/ballot-jev-0.5b,2026-09-22,apache-2.0,,Qwen/Qwen2.5-0.5B,
ZefanCai/Open-Jev-27B-v1.1,2026-09-22,apache-2.0,,Qwen/Qwen3.8-27B,
0xSojalSec/Jev-Omni,2026-09-23,apache-2.0,,google/gemma-4-12B-it,
alibiserikbay/JevK5-2B,2026-09-23,apache-2.0,1.9B,Qwen/Qwen3.5-2B,
asjson/jevson-4b-01,2026-09-23,apache-2.0,,Qwen/Qwen3-4B,
autotrust/JEV,2026-09-23,apache-2.0,7.9B,Qwen/Qwen3.5-9B,
chaoliangUNSW/Jev-Style-Qwen3.5-2B-Decision-v2,2026-09-23,apache-2.0,1.9B,Qwen/Qwen3.5-2B-Base,
