parent,derivatives,url
convaiinnovations/laya,122,https://huggingface.co/convaiinnovations/laya
convaiinnovations/laya-multilingual,25,https://huggingface.co/convaiinnovations/laya-multilingual
convaiinnovations/laya-typed-decisions,10,https://huggingface.co/convaiinnovations/laya-typed-decisions
jaredpalmer/kev-4b,8,https://huggingface.co/jaredpalmer/kev-4b
Mapika/decider-2b,7,https://huggingface.co/Mapika/decider-2b
Mapika/decider-0.8b,5,https://huggingface.co/Mapika/decider-0.8b
jaredpalmer/kev-0.5b,4,https://huggingface.co/jaredpalmer/kev-0.5b
jaredpalmer/kev-0.8b,4,https://huggingface.co/jaredpalmer/kev-0.8b
JackFram/decider-2b,3,
jaredpalmer/kev-0.6b,3,https://huggingface.co/jaredpalmer/kev-0.6b
