key,group,year,title,first_author,venue,link,in_survey,survey_paper
scholak2021picard,ADJ,2021,PICARD: Parsing Incrementally for Constrained Auto-Regressive Decoding from Language Models,Scholak,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2021.emnlp-main.779,no,no
wei2022chain,ADJ,2022,Chain-Of-Thought Prompting Elicits Reasoning in Large Language Models,Wei,Advances in Neural Information Processing Systems 35,https://doi.org/10.52202/068431-1800,no,no
leviathan2023fast,ADJ,2022,Fast Inference from Transformers via Speculative Decoding,Leviathan,arXiv,https://arxiv.org/abs/2211.17192,no,no
kojima2022large,ADJ,2022,Large Language Models Are Zero-Shot Reasoners,Kojima,Advances in Neural Information Processing Systems 35,https://doi.org/10.52202/068431-1613,no,no
chen2023accelerating,ADJ,2023,Accelerating Large Language Model Decoding with Speculative Sampling,Chen,arXiv,https://arxiv.org/abs/2302.01318,no,no
willard2023efficient,ADJ,2023,Efficient Guided Generation for Large Language Models,Willard,arXiv,https://arxiv.org/abs/2307.09702,yes,no
kwon2023efficient,ADJ,2023,Efficient Memory Management for Large Language Model Serving with PagedAttention,Kwon,Proceedings of the 29th Symposium on Operating Systems Principles,https://doi.org/10.1145/3600006.3613165,no,no
geng2023grammar,ADJ,2023,Grammar-Constrained Decoding for Structured NLP Tasks without Finetuning,Geng,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2023.emnlp-main.674,no,no
beurerkellner2023prompting,ADJ,2023,Prompting Is Programming: A Query Language for Large Language Models,Beurer-Kellner,Proceedings of the ACM on Programming Languages,https://doi.org/10.1145/3591300,no,no
qin2023toolllm,ADJ,2023,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,Qin,arXiv,https://arxiv.org/abs/2307.16789,no,no
schick2023toolformer,ADJ,2023,Toolformer: Language Models Can Teach Themselves to Use Tools,Schick,Advances in Neural Information Processing Systems 36,https://doi.org/10.52202/075280-2997,yes,no
patil2023gorilla,ADJ,2024,Gorilla: Large Language Model Connected with Massive APIs,Patil,Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-4020,no,no
beurerkellner2024domino,ADJ,2024,"Guiding LLMs The Right Way: Fast, Non-Invasive Constrained Generation",Beurer-Kellner,arXiv,https://arxiv.org/abs/2403.06988,no,no
tam2024let,ADJ,2024,Let Me Speak Freely? A Study On The Impact Of Format Restrictions On Large Language Model Performance,Tam,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing: Industry Track,https://doi.org/10.18653/v1/2024.emnlp-industry.91,yes,no
zheng2024sglang,ADJ,2024,SGLang: Efficient Execution of Structured Language Model Programs,Zheng,Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-2000,no,no
dong2025xgrammar,ADJ,2024,XGrammar: Flexible and Efficient Structured Generation Engine for Large Language Models,Dong,arXiv,https://arxiv.org/abs/2411.15100,yes,no
danescu2012echoes,DATA,2012,Echoes of power: language effects and power differences in social interaction,Danescu-Niculescu-Mizil,Proceedings of the 21st international conference on World Wide Web,https://doi.org/10.1145/2187836.2187931,no,no
danescu2013computational,DATA,2013,A Computational Approach to Politeness with Application to Social Factors,Danescu-Niculescu-Mizil,arXiv,https://arxiv.org/abs/1306.6078,no,no
saravia2018carer,DATA,2018,CARER: Contextualized Affect Representations for Emotion Recognition,Saravia,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/d18-1404,no,no
zhang2018conversations,DATA,2018,Conversations Gone Awry: Detecting Early Signs of Conversational Failure,Zhang,Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/p18-1125,no,no
larson2019evaluation,DATA,2019,An Evaluation Dataset for Intent Classification and Out-of-Scope Prediction,Larson,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),https://doi.org/10.18653/v1/d19-1131,no,no
hendrycks2021measuring,DATA,2020,Measuring Massive Multitask Language Understanding,Hendrycks,arXiv,https://arxiv.org/abs/2009.03300,no,no
ziems2024can,DATA,2024,Can Large Language Models Transform Computational Social Science?,Ziems,Computational Linguistics,https://doi.org/10.1162/coli_a_00502,no,no
whiting2011quadas2,RPT,2011,QUADAS-2: A Revised Tool for the Quality Assessment of Diagnostic Accuracy Studies,Whiting,Annals of Internal Medicine,https://doi.org/10.7326/0003-4819-155-8-201110180-00009,yes,no
collins2015transparent,RPT,2015,Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRIPOD): The TRIPOD Statement,Collins,European Urology,https://doi.org/10.1016/j.eururo.2014.11.025,yes,no
bender2018data,RPT,2018,Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,Bender,Transactions of the Association for Computational Linguistics,https://doi.org/10.1162/tacl_a_00041,no,no
mitchell2019model,RPT,2019,Model Cards for Model Reporting,Mitchell,"Proceedings of the Conference on Fairness, Accountability, and Transparency",https://doi.org/10.1145/3287560.3287596,yes,no
moons2019probast,RPT,2019,PROBAST: A Tool to Assess Risk of Bias and Applicability of Prediction Model Studies: Explanation and Elaboration,Moons,Annals of Internal Medicine,https://doi.org/10.7326/m18-1377,yes,no
wolff2019probast,RPT,2019,PROBAST: A Tool to Assess the Risk of Bias and Applicability of Prediction Model Studies,Wolff,Annals of Internal Medicine,https://doi.org/10.7326/m18-1376,yes,no
dodge2019show,RPT,2019,Show Your Work: Improved Reporting of Experimental Results,Dodge,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),https://doi.org/10.18653/v1/d19-1224,no,no
raji2020closing,RPT,2020,Closing the AI accountability gap: defining an end-to-end framework for internal algorithmic auditing,Raji,"Proceedings of the 2020 Conference on Fairness, Accountability, and Transparency",https://doi.org/10.1145/3351095.3372873,yes,no
rivera2020guidelines,RPT,2020,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI Extension,Rivera,BMJ,https://doi.org/10.1136/bmj.m3210,yes,no
pineau2021improving,RPT,2020,Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program),Pineau,arXiv,https://arxiv.org/abs/2003.12206,yes,no
liu2020reporting,RPT,2020,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI Extension,Liu,BMJ,https://doi.org/10.1136/bmj.m3164,yes,no
sounderajah2021quadasai,RPT,2021,A quality assessment tool for artificial intelligence-centered diagnostic test accuracy studies: QUADAS-AI,Sounderajah,Nature Medicine,https://doi.org/10.1038/s41591-021-01517-0,yes,no
gebru2021datasheets,RPT,2021,Datasheets for datasets,Gebru,Communications of the ACM,https://doi.org/10.1145/3458723,yes,no
sounderajah2021developing,RPT,2021,Developing a reporting guideline for artificial intelligence-centred diagnostic test accuracy studies: the STARD-AI protocol,Sounderajah,BMJ Open,https://doi.org/10.1136/bmjopen-2020-047709,yes,no
page2021prisma,RPT,2021,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,Page,BMJ,https://doi.org/10.1136/bmj.n71,yes,no
kapoor2023leakage,RPT,2023,Leakage and the reproducibility crisis in machine-learning-based science,Kapoor,Patterns,https://doi.org/10.1016/j.patter.2023.100804,yes,no
collins2024tripodai,RPT,2024,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,Collins,BMJ,https://doi.org/10.1136/bmj-2023-078378,yes,no
dietterich1995solving,S1,1995,Solving Multiclass Learning Problems via Error-Correcting Output Codes,Dietterich,Journal of Artificial Intelligence Research,https://doi.org/10.1613/jair.105,no,no
freund1997decisiontheoretic,S1,1997,A Decision-Theoretic Generalization of On-Line Learning and an Application to Boosting,Freund,Journal of Computer and System Sciences,https://doi.org/10.1006/jcss.1997.1504,no,no
domingos1997optimality,S1,1997,On the Optimality of the Simple Bayesian Classifier under Zero-One Loss,Domingos,Machine Learning,https://doi.org/10.1023/a:1007413511361,no,no
ng2001discriminative,S1,2001,On Discriminative vs. Generative Classifiers: A Comparison of Logistic Regression and Naive Bayes,Ng,Advances in Neural Information Processing Systems 14,https://proceedings.neurips.cc/paper/2001/hash/7b7a53e239400a13bd6be6c91c4f6c4e-Abstract.html,yes,no
caruana2004ensemble,S1,2004,Ensemble selection from libraries of models,Caruana,Twenty-first international conference on Machine learning - ICML '04,https://doi.org/10.1145/1015330.1015432,no,no
devlin2019bert,S1,2019,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Devlin,"Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)",https://doi.org/10.18653/v1/n19-1423,yes,no
yin2019benchmarking,S1,2019,"Benchmarking Zero-shot Text Classification: Datasets, Evaluation and Entailment Approach",Yin,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),https://doi.org/10.18653/v1/d19-1404,yes,no
sanh2019distilbert,S1,2019,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",Sanh,arXiv,https://arxiv.org/abs/1910.01108,no,no
nogueira2019passage,S1,2019,Passage Re-ranking with BERT,Nogueira,arXiv,https://arxiv.org/abs/1901.04085,no,no
liu2019roberta,S1,2019,RoBERTa: A Robustly Optimized BERT Pretraining Approach,Liu,arXiv,https://arxiv.org/abs/1907.11692,no,no
reimers2019sentencebert,S1,2019,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,Reimers,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),https://doi.org/10.18653/v1/d19-1410,yes,no
puri2019zeroshot,S1,2019,Zero-shot Text Classification With Generative Language Models,Puri,arXiv,https://arxiv.org/abs/1912.10165,no,no
lewis2020bart,S1,2020,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",Lewis,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,https://doi.org/10.18653/v1/2020.acl-main.703,yes,no
khattab2020colbert,S1,2020,ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT,Khattab,Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval,https://doi.org/10.1145/3397271.3401075,no,no
he2021deberta,S1,2020,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,He,arXiv,https://arxiv.org/abs/2006.03654,no,no
brown2020language,S1,2020,Language Models are Few-Shot Learners,Brown,arXiv,https://arxiv.org/abs/2005.14165,yes,no
zhao2021calibrate,S1,2021,Calibrate Before Use: Improving Few-Shot Performance of Language Models,Zhao,arXiv,https://arxiv.org/abs/2102.09690,yes,no
wang2021entailment,S1,2021,Entailment as Few-Shot Learner,Wang,arXiv,https://arxiv.org/abs/2104.14690,no,no
schick2021exploiting,S1,2021,Exploiting Cloze-Questions for Few-Shot Text Classification and Natural Language Inference,Schick,Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume,https://doi.org/10.18653/v1/2021.eacl-main.20,yes,no
gao2021making,S1,2021,Making Pre-trained Language Models Better Few-shot Learners,Gao,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),https://doi.org/10.18653/v1/2021.acl-long.295,no,no
holtzman2021surface,S1,2021,Surface Form Competition: Why the Highest Probability Answer Isn’t Always Right,Holtzman,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2021.emnlp-main.564,no,no
lester2021power,S1,2021,The Power of Scale for Parameter-Efficient Prompt Tuning,Lester,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2021.emnlp-main.243,no,no
perez2021true,S1,2021,True Few-Shot Learning with Language Models,Perez,arXiv,https://arxiv.org/abs/2105.11447,no,no
tunstall2022setfit,S1,2022,Efficient Few-Shot Learning Without Prompts,Tunstall,arXiv,https://arxiv.org/abs/2209.11055,no,no
robinson2023leveraging,S1,2022,Leveraging Large Language Models for Multiple Choice Question Answering,Robinson,arXiv,https://arxiv.org/abs/2210.12353,yes,no
min2022noisy,S1,2022,Noisy Channel Language Model Prompting for Few-Shot Text Classification,Min,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2022.acl-long.365,no,no
karimimahabadi2022prompt,S1,2022,Prompt-free and Efficient Few-shot Learning with Language Models,Karimi Mahabadi,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2022.acl-long.254,no,no
zheng2024large,S1,2023,Large Language Models Are Not Robust Multiple Choice Selectors,Zheng,arXiv,https://arxiv.org/abs/2309.03882,yes,no
