key,title,authors,link,date,source,role,task_family,decision_models,comparators,reference_labels,rob_overall,own,rows
li2026fast,Fast Intent-Driven Service Orchestration with Jev for 6G Edge Networks,Li et al.,https://arxiv.org/abs/2609.23136,2026-09-19,arXiv,method paper,agent control,Jev 1.13,Open and hosted generative LLMs,administrative field; human adjudicated; task outcome,some_concerns,no,12
li2026replacing,Replacing Large Language Models with Jev Decision Models for Low-Latency Edge Service Orchestration,Li et al.,https://arxiv.org/abs/2609.22753,2026-09-19,arXiv,method paper,agent control,Jev 1.13,"Open and hosted generative LLMs, a fixed rule parser",LLM teacher; human adjudicated; task outcome,some_concerns,no,12
cheng2026thisthatmodel,"this-that-model-1.0: A typed decision model that decides in 30 ms, for a millionth of a cent",Cheng et al.,https://arxiv.org/abs/2609.23886,2026-09-20,arXiv,method paper,judging,this-that-model-1.0; Jev (third-party runs),"Hosted generative models, chance and constant baselines",task outcome,high,no,12
deng2026jev,Jev for Scientific Decisions: Evaluating Semantic Choices and Their Consequences,Deng et al.,https://arxiv.org/abs/2609.24965,2026-09-21,arXiv,independent evaluation,scientific workflow,Jev 1.13,Frontier and open generative LLMs,human adjudicated,some_concerns,no,14
ibrahim2026evaluating,Evaluating Decision Models for Text Annotation in Computational Social Science,Ibrahim and Zaki,https://arxiv.org/abs/2609.24574,2026-09-21,arXiv,independent evaluation,social-science annotation,"Jev 1.13; Laya-0.4B, decider-0.8b/2b, Bespoke-Nimble-9B, SemIf-4B, Qwen3-0.6B-RLCD",19 generative LLMs,human adjudicated,high,no,55
jiang2026jevmem,Jev-Mem: System-One-Controlled Agentic Memory for Efficient AI Agents,Jiang et al.,https://arxiv.org/abs/2609.23986,2026-09-21,arXiv,method paper,memory,Jev-Mem (Jev-controlled memory),Agent memory systems,LLM teacher,high,no,10
rafe2026calibrated,Calibrated Decisions at Scale: Converting Police Crash Narratives into Probabilistic Crash Variables with a System One Model (Jev),Rafe and Das,https://arxiv.org/abs/2609.24052,2026-09-21,arXiv,independent evaluation,document coding,Jev 1.13,Frontier generative LLMs,administrative field; human adjudicated,some_concerns,yes,22
ren2026openjev,Open-Jev Judgments on CallScreenBench: Calibrated One-Pass Scam Screening with a Small Language Model,Ren et al.,https://arxiv.org/abs/2609.23959,2026-09-21,arXiv,method paper,safety,"JevLite (open, Qwen3-4B with LoRA)","Fine-tuned ModernBERT-large, Qwen3 fine-tune, LLM judge",administrative field,some_concerns,no,14
robitza2026jevqa,"JEVQA - Video Quality from Metadata, Bitstream, and Pixel Features with a General-Purpose Decision Model",Robitza,https://arxiv.org/abs/2609.24395,2026-09-21,arXiv,independent evaluation,scientific workflow,Jev 1.13 (JEVQA),"ITU-T P.1204 models, ExtraTrees, LLM ensemble",human crowd,some_concerns,no,14
li2026jevasajudge,"JEV-as-a-Judge: Accept When Confident, Escalate When Unsure",Li et al.,https://arxiv.org/abs/2609.26550,2026-09-22,arXiv,independent evaluation,judging,Jev 1.13,Reward models and frontier LLM judges,human adjudicated; vendor label,high,no,27
sun2026typesafe,"Type-Safe Is Not Error-Free: A Constrained Decision Head Follows the Option Name, Not the Rubric Bound to It","Sun, Xu, Shi and Yang",https://arxiv.org/abs/2609.26758,2026-09-22,arXiv,independent evaluation,classification,Jev (hosted); open marker head (ModernBERT-large); span-mean head (DeBERTa-v3-large),Name-swap controls on the same heads,administrative field,some_concerns,no,22
wu2026reflex,REFLEX with Jev for Efficient Selective Control in LLM Agents,Wu and Lim,https://arxiv.org/abs/2609.26532,2026-09-22,arXiv,method paper,agent control,Jev 1.13 (REFLEX router),"Strong-only generative LLMs, a cheap generative cascade",human adjudicated; task outcome,some_concerns,no,14
yu2026visual,Visual Jev: Accurate and Efficient Decisions from Shared Visual Context,Yu and Yao,https://arxiv.org/abs/2609.25845,2026-09-22,arXiv,method paper,classification,"Visual Jev (Qwen3-VL-4B and 8B, typed head)",Backbone and answer-SFT ablations,human adjudicated,high,no,10
huang2026can,Can Jev Judge Radiology Reports? Evaluating a System One Model for Clinical Factuality,Huang et al.,https://arxiv.org/abs/2609.27607,2026-09-23,arXiv,independent evaluation,judging,Jev 1.13,Open NLI pipeline and a local 27B RadMatch backend,human adjudicated; task outcome,some_concerns,no,13
li2026kite,KITE: Scaling Jev Population Experiments with Sparse Flagship Calibration,Li,https://arxiv.org/abs/2609.27535,2026-09-23,arXiv,method paper,classification; social-science annotation,Jev 1.13,Frontier generative LLMs,human crowd,some_concerns,no,10
ma2026jevstar,"JEV-Star: Fast, Low-Cost StarCraft II Control with Language-Model Planning",Ma et al.,https://arxiv.org/abs/2609.27331,2026-09-23,arXiv,method paper,agent control,Jev 1.13,Frontier LLM planner,task outcome,some_concerns,no,10
zhang2026same,"Same Scores, Different Decisions: Evaluating JEV and Language Models for Legal Document Understanding",Zhang et al.,https://arxiv.org/abs/2609.27678,2026-09-23,arXiv,independent evaluation,classification,Jev 1.13,Frontier and open generative LLMs,human adjudicated,high,no,22
dossantos2026calibrated,Calibrated Decision Models for Autonomous Penetration-Testing Harnesses: JEV and Laya as System One Decision Layers for LLM-Driven Pentest Agents,dos Santos Barbosa,https://arxiv.org/abs/2609.28940,2026-09-24,arXiv,independent evaluation,agent control,Jev (jev-latest); Laya,Generative LLM harness baseline,task outcome; vendor label,high,no,14
guo2026just,Just Ask Jev: Reinforcement Learning for Calibrated Decisions as a Zero-Shot Detector of AI Alignment Failures,Guo et al.,https://arxiv.org/abs/2609.29429,2026-09-24,arXiv,independent evaluation,safety,Jev 1.13,"API LLM judges, text baselines",LLM teacher; human adjudicated,high,no,20
grey_archerhume_jev,Jev's Architecture Unmasked,Archer Hume,https://archerhume.com/posts/jevs-architecture-unmasked/,2026-09-17,grey literature,reverse engineering,QA; classification,Jev 1.13,Black-box probes,human adjudicated,some_concerns,no,7
grey_vercel_p95,Jev latency in Vercel AI Gateway,Vercel,https://vercel.com/blog/ai-gateway-jev-model-launch,2026-09-17,grey literature,practitioner report,safety,Jev,A frontier generative LLM,none stated,high,no,1
grey_localllama_typed_decisions,typed-decisions dataset card,LocalLLaMA,https://huggingface.co/datasets/LocalLLaMA/typed-decisions,2026-09-18,grey literature,dataset card,classification,Jev 1.13; Decider 1 (sd-1),"ModernBERT-base specialist, prior baseline",LLM teacher,high,no,10
grey_bespoke_nimble,Bespoke-Nimble-9B model card and repository,Bespoke Labs,https://huggingface.co/bespokelabs/Bespoke-Nimble-9B,2026-09-20,grey literature,developer evaluation,classification,Bespoke-Nimble-9B; Jev 1.13,Jev as comparator,human adjudicated; human crowd; synthetic,some_concerns,no,10
grey_kev,Kev-9B model card and repository,Jared Palmer,https://huggingface.co/jaredpalmer/kev-9b,2026-09-21,grey literature,developer evaluation,QA; classification,Kev-9B,Jev (live),administrative field; human adjudicated,high,no,12
grey_laya,Laya and Laya multilingual model cards,Convai Innovations,https://huggingface.co/convaiinnovations/laya,2026-09-24,grey literature,developer evaluation,classification,"Laya, Laya multilingual, laya-typed-decisions",Published Jev 1.13 values,LLM teacher; human adjudicated,some_concerns,no,10
grey_robbalian_rev,rev: Reverse Engineering Jev Using Open Models,robbalian,https://github.com/robbalian/rev,2026-09-24,grey literature,developer evaluation,classification,"Rev (Qwen3.5-4B, Qwen3.5-9B, Qwen3.8-27B)",Hosted Jev,human adjudicated; task outcome,some_concerns,no,8
grey_typesafe_evals,Workflow evals,TypeSafe AI,https://evals.typesafe.ai/,2026-09-24,grey literature,developer evaluation,agent control,Jev,Frontier generative LLMs,model consensus,high,no,9
